DS	opening	A	Okay	sw02-0224.w1
Ta	inform (Elab:Specific da185)	B	 -- or all children 	sw02-0224.w931-w934
AutoF	autoPositive (Fe: da191)	A	Right  	sw02-0224.w935
AutoF	autoPositive (Fe: da191)	A	Right  	sw02-0224.w936
AutoF	autoPositive (Fe: da191)	A	Yeah 	sw02-0224.w937
Ta	inform (Elab:Specific da185)	B	The ones that are good with babies tend not to be good with toddlers 	sw02-0224.w938-w951
AutoF	autoPositive (Fe: da195)	A	Huh-uh 	sw02-0224.w952
AutoF	autoPositive (Fe: da195)	A	Huh-uh  	sw02-0224.w954
Tim	stalling	A	I don't know,  	sw02-0224.w961-w963
Ta	inform [uncertain] (Cause:Reason da195)	A	I think your patience level needs to increase as the child gets older <laughter>	sw02-0224.w964-w968,w970-w977
OCM	selfCorrection	A	must, needs to	sw02-0224.w969-w971
Ta	inform [uncertain]	A	I think that might be part of the problem with some people You know,   	sw02-0224.w979-w992
Ta	inform (Contrast:arg1 da204,da207,da208))	A	taking care of a baby, I know, is not an easy thing,  	sw02-0224.w993-w1004
Ta	inform	A	but when you have them in, their little feet are moving 	sw02-0224.w1005-w1010,w1012-w1016
TiM	stalling	A	their, their	sw02-0224.w1011,w1012
TuM	turnKeep	A	and	sw02-0224.w1017
Ta	inform	A	you have to chase them down constantly 	sw02-0224.w1018-w1024
Ta	inform	A	I'm sure that's a whole new ball game 	sw02-0224.w1025-w1032
TiM	stalling	B	Oh	sw02-0224.w1033
AutoF	autoPositive (Fe: da208)	B	yeah	sw02-0224.w1034
AutoF	autoPositive (Fe: da208)	B	Yeah,  	sw02-0224.w1036
Ta	inform	B	I have a nine year old that I would trade happily for a baby	sw02-0224.w1037-w1050
AutoF	autoPositive (Fe: da212)	A	<Laughter> Oh,  really  	sw02-0224.w1051-w1053
TuM	turnTake	A	Well	sw02-0224.w1054
Ta	inform	A	you sound like you're pretty well passed the worst of it as far as worrying about, - 	sw02-0224.w1055-w1071
OCM	selfCorrection	A	worrying about, since they're both in school, you don't have to worry about	sw02-0224.w1069-w1082
Ta	inform	A	since they're both in school, you don't have to worry about a full-time person to take care of them  <<Voices fading in and out>> 	sw02-0224.w1072-w1095
TiM	stalling:TuM:turnTake	B	Oh	sw02-0224.w1096
Ta	inform	B	you don't know what happens after they get in school 	sw02-0224.w1097-w1106
Ta	inform	A	<Laughter> That's something altogether different	sw02-0224.w1107-w1111
TiM	stalling	A	uh	sw02-0224.w1112
TiM	stalling:TuM:turnTake	B	Oh	sw02-0224.w1113
Ta	agreement (Fu: da221)	B	yes	sw02-0224.w1114
Ta	inform	B	Now we have one takes piano lessons	sw02-0224.w1115-w1117,w1119-w1122
TiM	stalling	B	uh	sw02-0224.w1118
AutoF	autoPositive (Fe: da226)	A	 Huh-uh   	sw02-0224.w1123
Ta	inform (Elab:Specific da226)	B	 somewhere  on one afternoon  	sw02-0224.w1124-w1127
TuM	turnKeep	B	and	sw02-0224.w1128
Ta	inform	B	the other one, of course can't do the same thing	sw02-0224.w1129-w1138
TiM	stalling	A	Oh	sw02-0224.w1139
Ta	agreement (Fu: da231)	A	of course not 	sw02-0224.w1140-w1142
Ta	inform (Restatement: Arg2 da231)	B	It has to be somewhere else  	sw02-0224.w1143-w1148
Ta	inform	B	and  no  it's not adequate to sit and wait	sw02-0224.w1149-w1157
Ta	agreement (Fu: da235)	A	<Laughter>  You can't do that  	sw02-0224.w1158-w1162
Ta	agreement (Fu:da235)	A	No 	sw02-0224.w1163
Ta	agreement (Fu: da236)	B	No 	sw02-0224.w1164
Ta	agreement (Fu: da238)	A	No  	sw02-0224.w1165
Ta	agreement (Fu: da239)	A	No 	sw02-0224.w1166
OCM	retraction	B	That just, - 	sw02-0224.w1167-w1169
Ta	agreement (Fu:da236)	B	that will not do 	sw02-0224.w1170-w1173
Ta	agreement (Fu: da242)	A	That's out of the question,  	sw02-0224.w1174-w1178
Ta	agreement (Fu: da242)	A	I'm sure 	sw02-0224.w1179,w1180
Ta	agreement (Fu: da243)	B	Of course 	sw02-0224.w1181,w1182
TuM	turnKeep	B	But	sw02-0224.w1184
Ta	inform	B	we are helping,  you know	sw02-0224.w1185-w1189
AutoF	autoPositive (Fe: da247)	A	Right  	sw02-0224.w1190
AutoF	autoPositive (Fe: da247)	A	Right 	sw02-0224.w1191
Ta	inform (Restatement:Arg2 da247)	B	We are being cooperative,  	sw02-0224.w1192-w1195
Ta	setQuestion	B	what's wrong with you	sw02-0224.w1196-w1199
AutoF	autoPositive (Fe: da251)	A	Right  	sw02-0224.w1200
AutoF	autoPositive (Fe: da251)	A	Right 	sw02-0224.w1201
Ta	inform	B	You don't understand this 	sw02-0224.w1202-w1205
AutoF	autoPositive (Fe: da254)	A	Huh-uh 	sw02-0224.w1206
Ta	inform	B	That's just the way their minds work  	sw02-0224.w1207-w1213
TuM	turnKeep	B	And	sw02-0224.w1214
Ta	inform	B	it's almost everyday 	sw02-0224.w1215-w1217
AutoF	autoPositive (Fe: da258)	A	That's amazing  	sw02-0224.w1218,w1219
Ta	inform	A	It's amazing that people actually, - 	sw02-0224.w1220-w1225
Ta	inform	A	the stamina that you must draw from yourself to deal with it 	sw02-0224.w1226-w1230,w1233-w1239
TiM	stalling	A	you know	sw02-0224.w1231,w1232
Ta	inform	A	It must be interesting  	sw02-0224.w1240-w1243
Ta	inform [uncertain]	A	I guess you find out that you're a much stronger person than you thought, maybe 	sw02-0224.w1244-w1258
TuM	turnTake	B	Well	sw02-0224.w1259
Ta	inform (Similarity:Arg2 da264)	B	I've been finding out that I really am a nice person	sw02-0224.w1260-w1270
Ta	inform	B	((   ))  hit for many years -	sw02-0224.w1271-w1276
AutoF	autoPositive (Fe: da267)	A	<Laughter>	sw02-0224.w1277
Ta	inform (Cause:Reason da267)	B	((   )) because  I didn't need it 	sw02-0224.w1278-w1284
AutoF	autoPositive (Fe: da269)	A	 <Laughter>  Huh-uh 	sw02-0224.w1285,w1286
TuM	turnKeep	B	And	sw02-0224.w1287
Ta	inform (Contrast:Arg2 da269)	B	now, I need it	sw02-0224.w1288-w1291
Ta	inform (Restatement:Arg2 da272)	A	Now it's just a reservoir that you tend to regularly, I'm sure 	sw02-0224.w1292-w1303
AutoF	autoPositive (Fe: da273)	B	Yeah  	sw02-0224.w1304
TuM	turnKeep	B	And	sw02-0224.w1305
Ta	inform (Elab:Specific da273)	B	it stays low a lot <laughter>	sw02-0224.w1306-w1311
AutoF	autoPositive(Fe: da276)	A	<Laughter>	sw02-0224.w1312
AutoF	autoPositive(Fe: da277)	B	 <Laughter>	sw02-0224.w1313
TuM	turnTake	A	Well	sw02-0224.w1314
Ta	propositionalQuestion	A	do you feel comfortable with them coming home after school until you and your wife get home 	sw02-0224.w1320-w1323,w1325-w1337
TiM	stalling	A	um	sw02-0224.w1324
Ta	answer (Fu: da280); TuM:turnGrab	B	Absolutely not 	sw02-0224.w1339,w1340
AutoF	autoPositive (Fe: da282)	A	No  	sw02-0224.w1341
AutoF	autoPositive (Fe: da282)	A	Yeah 	sw02-0224.w1342
Ta	inform (Expand:Expander da282)	B	I mean one of them I would leave unsupervised any time, any place, any where	sw02-0224.w1343-w1349,w1352-w1361
TiM	stalling	B	I would, I would	sw02-0224.w1350-w1353
AutoF	autoPositive (Fe: da286)	A	Huh-uh 	sw02-0224.w1362
TiM	stalling	B	Uh	sw02-0224.w1363
Ta	inform (Contrast:Arg2 da286)	B	the other one I wouldn't leave unsupervised two minutes	sw02-0224.w1364-w1372
AutoF	autoPositive (Fe: da290)	A	Yeah  	sw02-0224.w1373
AutoF	autoPositive (Fe: da290)	A	Yeah  	sw02-0224.w1374
Ta	inform (Elab:Broad da286, da290)	A	That's just a difference in kids, I suppose 	sw02-0224.w1375-w1382
AutoF	autoPositive (Fe: da293)	B	That's true 	sw02-0224.w1383,w1384
AutoF	autoPositive (Fe: da294)	A	Yeah 	sw02-0224.w1385
Ta	checkQuestion	B	one leads the other	sw02-0224.w1388-w1391
Ta	confirm (Fu: da296)	A	Huh-uh,  	sw02-0224.w1392
Ta	confirm (Fu: da296)	A	yeah 	sw02-0224.w1393
TuM	turnTake;TiM:stalling	B	And,  uh,  -	sw02-0224.w1394,w1395
TuM	turnTake	A	and	sw02-0224.w1396
TiM	stalling	A	it's, it's	sw02-0224.w1397,w1398
Ta	inform (Expand:Expander da298)	A	it's the one that's going downhill,	sw02-0224.w1398-w1403
TiM	stalling	A	is it, is it	sw02-0224.w1405-w1408
Ta	propositionalQuestion	A	is it the one that needs more supervision that has a bad influence on the older or more mature one	sw02-0224.w1407-w1411,w1413-w1427
TiM	stalling	A	needs, needs	sw02-0224.w1412,w1413
Ta	answer (Fu: da305)	B	Of course 	sw02-0224.w1428,w1429
AutoF	autoPositive (Fe:da307)	A	Yeah <laughter>  	sw02-0224.w1430,w1431
Ta	inform	A	How unfortunate <laughter> 	sw02-0224.w1432-w1434
TiM	stalling	B	You don't think, you don't think	sw02-0224.w1435-w1440
Ta	checkQuestion	B	You don't think that good prevails 	sw02-0224.w1438-w1443
TuM	turnTake	A	Well	sw02-0224.w1444
TiM	stalling	A	I, I, I'm	sw02-0224.w1445-w1447
Ta	inform	A	I'm living in a dream world, 	sw02-0224.w1447-w1452
Ta	inform (Expand:Expander da314)	A	what do I know  	sw02-0224.w1453-w1456
Ta	inform (Expand:Expander da315)	A	As I said, I don't have kids  	sw02-0224.w1457-w1463
TuM	turnKeep	A	and	sw02-0224.w1464
Ta	inform (Expand:Expander da315)	A	I'm an only child 	sw02-0224.w1465-w1468
Ta	inform (Expand:Expander da315) (Elab:Broad da316,da318)	A	so  I've never been around children  	sw02-0224.w1469-w1474
Ta	inform (Cause:Result da319)	A	So I'm sort of at a loss where that's concerned 	sw02-0224.w1475,w1477-w1485
TiM	stalling	A	uh	sw02-0224.w1476
Ta	inform (Contrast:Arg2 da320)	A	But I do hear my friends talk about it 	sw02-0224.w1486-w1494
TiM	stalling	B	We, we're	sw02-0224.w1495,w1496
Ta	inform	B	we're having such fun	sw02-0224.w1496-w1499
Ta	inform	B	my wife and I were both only children 	sw02-0224.w1500-w1507
AutoF	autoPositive (Fe: da325)	A	Huh-uh 	sw02-0224.w1508
TuM	turnKeep	B	And	sw02-0224.w1509
Ta	inform (Cause:Result da325)	B	we just couldn't wait to have two children so they would be such friends 	sw02-0224.w1510-w1523
AutoF	autoPositive (Fe: da328)	A	Yeah <laughter> 	sw02-0224.w1524,w1525
Ta	inform	B	Wrong 	sw02-0224.w1526
Ta	inform (Expand:Expander da330)	A	<Laughter>  That's like World War Three every minute <laughter>  	sw02-0224.w1527-w1535
TiM	stalling	A	I don't know  	sw02-0224.w1536-w1538
TiM	stalling	A	I, I, I	sw02-0224.w1539-w1541
Ta	inform	A	I have to admit, I was selfish as a child 	sw02-0224.w1541-w1546,w1546-w1551
OCM	selfCorrection	A	self-, selfish	sw02-0224.w1547,w1548
Ta	inform (Cause:Result da334)	A	I didn't want a brother or sister  	sw02-0224.w1552-w1558
TuM	turnKeep	A	And	sw02-0224.w1559
Ta	inform (Contrast:Arg2 da336)	A	now that I'm older, of course, it's different 	sw02-0224.w1560-w1567
TiM	stalling	A	You know	sw02-0224.w1568,w1569
Ta	inform	A	I think about, wouldn't it be nice, 	sw02-0224.w1572,w1574-w1577
TiM	stalling	A	uh	sw02-0224.w1573
TiM	stalling	A	 but, uh, anyway  -	sw02-0224.w1578-w1580
Ta	suggest	B	Just make good friends 	sw02-0224.w1581-w1584
AutoF	autoPositive (Fe: da343)	A	Yeah, oh,   	sw02-0224.w1585,w1586
Ta	inform	A	I have wonderful friends  	sw02-0224.w1587-w1590
AutoF	autoPositive (Fe: da343)	A	That's true  	sw02-0224.w1591,w1592
Ta	inform (Expand:Expander da345)	A	my best friend is one child of ten  	sw02-0224.w1593-w1600
TuM	turnKeep	A	And so	sw02-0224.w1601,w1602
Ta	inform (Expand:Expander da347)	A	they just sort of adopted me as their eleventh child 	sw02-0224.w1603-w1606,w1609-w1614
TiM	stalling	A	you know	sw02-0224.w1607,w1608
Ta	inform (Eval:Judgment da349)	A	so that worked out pretty well  	sw02-0224.w1615-w1620
Ta	inform	A	She never had to worry about taking anybody to child care because there was always somebody there older to deal with them,  	sw02-0224.w1621-w1642
Ta	inform (Eval:Judgment da352)	A	so I guess, that's an alternative  	sw02-0224.w1643-w1648
Ta	inform	A	If you could just, have a whole bunch <laughter>	sw02-0224.w1649-w1652,w1656-w1660
TiM	stalling	A	um	sw02-0224.w1653
PCM	completion (Fe: da354)	B	Have enough   	sw02-0224.w1654,w1655
AutoF	autoPositive (Fe: da354)	B	<Laughter>	sw02-0224.w1661
Ta	inform (Condition:Consequent da354)	A	By the time the youngest ones are there, you'll have older one to take care of them 	sw02-0224.w1662-w1678
AutoF	autoPositive (Fe: da358)	B	That's true 	sw02-0224.w1679,w1680
TiM	stalling	A	I don't know  	sw02-0224.w1681-w1683
Ta	inform	A	When you see all these horror stories on television about child care  	sw02-0224.w1684-w1695
TuM	turnKeep	A	and	sw02-0224.w1696
Ta	inform (Eval:Judgment da361)	A	gosh	sw02-0224.w1697
Ta	inform (Exemp:Instance da361)	A	I was seeing something on the television earlier about a little girl that's been telling her mother these terrible stories  	sw02-0224.w1701-w1720
TuM	turnKeep	A	and	sw02-0224.w1721
Ta	inform	A	of course people are denying it 	sw02-0224.w1722-w1727
TuM	turnKeep	A	And	sw02-0224.w1728
TiM	stalling	A	uh	sw02-0224.w1729
Ta	inform (Restatement:Arg2 da361)	A	it's just frightening 	sw02-0224.w1730-w1732
Ta	inform [certain]	A	It really is 	sw02-0224.w1733-w1735
TuM	turnTake	B	Well	sw02-0224.w1736
TiM	stalling	B	what, what's	sw02-0224.w1737,w1738
Ta	inform	B	what's frightening is a parent to see things that you don't really don't understand	sw02-0224.w1738-w1745,w1747-w1752
TiM	stalling	B	that, that	sw02-0224.w1746,w1747
AutoF	autoPositive (Fe: da373)	A	Huh-uh  	sw02-0224.w1753
AutoF	autoPositive (Fe: da373)	A	Huh-uh 	sw02-0224.w1754
Ta	inform (Cause:Result da373)	B	And then  you don't really know what happened 	sw02-0224.w1755-w1762
AutoF	autoPositive (Fe: da377)	A	Yeah 	sw02-0224.w1763
