OCM	retraction	B	they also	sw01-0105.w557
Ta	inform	B	their editorial stand point seems to be a lot better than, say, your major network news and that kind of thing	sw01-0105.w560-w580
TuM	turnTake	A	Well	sw01-0105.w581
OCM	selfCorrection	A	McNeil, Neil	sw01-0105.w582,w584
Ta	inform	A	Neil and Lehrer, they're pretty good too	sw01-0105.w584-w586,w600-w603
Ta	inform	A	I guess one of them is leaving.	sw01-0105.w588,w589,w592-w596
OCM	selfCorrection	A	he's leaving, one of them is leaving	sw01-0105.w590-w596
AutoF	autoPositive (Fe: da134)	B	Uh-huh	sw01-0105.w597
TuM	turnTake;TiM:stalling	A	uh	sw01-0105.w598
TiM	stalling	A	they're, they're	sw01-0105.w599,w600
TuM	turnKeep;TiM:stalling	A	uh	sw01-0105.w604
Ta	checkQuestion	A	I guess a year ago you're probably watching CNN a lot, right?	sw01-0105.w605-w616
Ta	confirm (Fu: da142)	B	Right <laughter> 	sw01-0105.w617,w618
Ta	confirm (Fu: da142)	B	yeah	sw01-0105.w619
Ta	inform (Expand: Expander da142)	A	Had that invasion or whatever it is	sw01-0105.w620-w626
Ta	agreement (Fu: da145)	B	Sure was	sw01-0105.w627,w628
TiM	stalling;TuM:turnTake	B	uh	sw01-0105.w629
TiM	stalling	B	I, I don't know	sw01-0105.w631-w634
Ta	inform	A	but I guess it's still a lot of hype	sw01-0105.w630,w635,w636,w640-w645
OCM	selfCorrection	A	a lot of it's still a lot of	sw01-0105.w637-w644
Ta	suggest (Exemp:Instance da150)	A	Look at the Smith trial	sw01-0105.w646-w651
TiM	stalling	A	the, the	sw01-0105.w648,w649
AutoF	autoPositive (Fe: da152)	B	Uh-huh	sw01-0105.w652
Ta	inform (Expand:Expander da152)	A	I mean, that was a joke	sw01-0105.w653-w658
Ta	agreement (Fu: da155)	B	Yeah that was	sw01-0105.w659-w661
TuM	turnKeep	B	but	sw01-0105.w663
Ta	inform (Contrast:Arg2 da155)	B	but then you also have things where they broadcast the Clarence Thomas hearings basically the whole length of them which I thought was really good.	sw01-0105.w663-w668,w672-w688,690,w691
OCM	selfCorrection	B	where you, where they	sw01-0105.w669,w670,w672,w673
TiM	stalling	B	uh	sw01-0105.w671
TiM	stalling	B	 r-, really	sw01-0105.w689,w690
Ta	agreement (Fu: da158)	A	Oh yeah, the NPR doing that, yeah, I know	sw01-0105.w692-w700
Ta	inform (Expand:Expander da158)	A	I had some visitor, he was just, I don't know, fixated on that, just listened to it constantly	sw01-0105.w701,w702,w704-w708,w711-w717,w720-w723,w727
TiM	stalling	A	uh	sw01-0105.w703
TuM	turnKeep	A	and	sw01-0105.w706
OCM	selfCorrection	A	just in-, just	sw01-0105.w709-w711
AutoF	autoPositive (Fe: da163)	B	Uh-uh	sw01-0105.w725
TuM	turnKeep:TiM:stalling	A	uh	sw01-0105.w728
Ta	inform	A	and I guess that's good when it's live, if you'll really want that	sw01-0105.w729-w736,w739-w743
OCM	selfCorrection	A	if you, if you'll	sw01-0105.w737-w740
TuM	turnKeep	A	but	sw01-0105.w744
Ta	inform (Contrast:Arg2 da170)	A	but that's not really providing you news. 	sw01-0105.w744-w750
Ta	agreement (Fu: da173)	B	Right	sw01-0105.w751
TiM	stalling	A	it's it's 	sw01-0105.w752,w753
Ta	inform	A	it's more like a media event rather than reporting	sw01-0105.w753-w760,w767
TiM	stalling:TuM:turnTake	B	Well	sw01-0105.w762
Ta	inform	B	but the news that you would get from any other source is being generated from that event, which is something that's good also about C Span which I tune into every once in a while	sw01-0105.w769,w770,w773-w797,w799-w806
TiM	stalling	B	ne-, news, news 	sw01-0105.w771-w773
TiM	stalling	B	I, I	sw01-0105.w798,w799
TiM	stalling	A	Oh	sw01-0105.w807
AutoF	autoPositive [surprise] (Fe: da178)	A	really	sw01-0105.w808
Ta	inform (Cause:Reason da182)	A	That's kind of boring to me, I think	sw01-0105.w809-w816
Ta	agreement (Fu: da183)	B	Yeah, it is really kind of boring	sw01-0105.w817,w819-w824
TiM	stalling	B	it, it	sw01-0105.w818,w819
TuM	turnKeep	B	but	sw01-0105.w825
TiM	stalling	B	you know	sw01-0105.w826,w827
Ta	inform (Contrast:Arg2 da184)	B	but that's if you don't watch it there, then you're going to hear somebody else's canned report, somebody else's view about it	sw01-0105.w825,w828,w831-w844,w846-w851
TiM	stalling	B	if, if	sw01-0105.w830,831
TiM	stalling	B	uh	sw01-0105.w845
TuM	turnKeep	B	and	sw01-0105.w852
OCM	retraction	B	that's what you're supposed to	sw01-0105.w853-w855,w857-w859
TiM	stalling	B	you're supposed, you're supposed	sw01-0105.w855-w858
Ta	inform	B	if you watch the news, your opinion is going to be formed on what somebody else thought about it	sw01-0105.w861-w865,w868-w882
OCM	selfCorrection	B	you're going, your opinion is going	sw01-0105.w866-w871
OCM	selfCorrection	B	about, on 	sw01-0105.w875,w876
Ta	agreement (Fu: da194)	A	Yeah	sw01-0105.w884
Ta	inform (Contrast:Arg2 da194)	B	as opposed to actually watching it yourself and forming your own opinion, which I would  be much more in favor of forming my own opinion as opposed to following someone else's	sw01-0105.w886-w896,w898-w900,w902-w918
OCM	selfCorrection	B	pinion, opinion	sw01-0105.w897,w898
OCM	selfCorrection	B	haven't, would	sw01-0105.w901,w902
Ta	agreement (Fu: da198)	A	Yeah	sw01-0105.w919
Ta	inform (Fu: da198)	A	I guess that's true	sw01-0105.w920-w923
TuM	turnTake	A	But	sw01-0105.w924
Ta	inform	A	one of the ways that I get information is, every day when I log in on the computer I subscribe to this thing	sw01-0105.w925-w933,w935-w946,948,w949
TiM	stalling	A	uh	sw01-0105.w934
TiM	stalling	A	this, this	sw01-0105.w947,w948
Ta	inform	A	it's free inside the company	sw01-0105.w950-w954
Ta	inform	A	it's called INTELLECT	sw01-0105.w955-w957
TuM	turnKeep	A	and	sw01-0105.w958
TiM	stalling	A	and, and	sw01-0105.w958,w959
TiM	stalling	A	uh	sw01-0105.w962
Ta	inform	A	they basically, type out abstracts which are really literally, -	sw01-0105.w960,w961,w963-w969
TiM	stalling	A	I've, I've	sw01-0105.w971,w972
Ta	inform	A	I've actually read the actual articles	sw01-0105.w972-w977
Ta	inform	A	they're pretty g	sw01-0105.w978-w980
